,values
Exterior2nd_CBlock,-0.0
Exterior2nd_CmentBd,-0.0
Exterior2nd_HdBoard,-0.0
Exterior2nd_ImStucc,0.0
Exterior2nd_MetalSd,0.0
Exterior2nd_Other,-0.0
Exterior2nd_Plywood,-0.0
Exterior2nd_Stone,-0.0
Exterior2nd_Stucco,-0.0
Exterior2nd_VinylSd,0.005842019642102504
Exterior2nd_Wd Sdng,0.0030040443557027424
Exterior2nd_Wd Shng,-0.0
MasVnrType_BrkCmn,-0.007682151422603113
MasVnrType_BrkFace,-0.0
MasVnrType_None,0.0010551579763586469
MasVnrType_Stone,0.0
ExterQual_Ex,0.0044997142979285205
ExterQual_Fa,-0.0
ExterQual_Gd,0.0
ExterQual_TA,-0.016754627191479812
ExterCond_Ex,0.0
ExterCond_Fa,-0.028079452258502793
ExterCond_Gd,-0.0
ExterCond_Po,-0.0
ExterCond_TA,0.012757259526187776
Foundation_BrkTil,-0.014623672331449362
Foundation_CBlock,-0.0
Foundation_PConc,0.014025516281206898
Foundation_Slab,0.0
Foundation_Stone,0.0
Foundation_Wood,-0.0
BsmtQual_Ex,0.041587038691536196
BsmtQual_Fa,-0.0
BsmtQual_Gd,0.0
BsmtQual_TA,-0.016205520036065672
BsmtCond_Fa,-0.01590369093482439
BsmtCond_Gd,0.0
BsmtCond_Po,-0.0
BsmtCond_TA,0.0
BsmtExposure_Av,-0.0
BsmtExposure_Gd,0.03998051919550062
BsmtExposure_Mn,-0.0
BsmtExposure_No,-0.01720949681642344
BsmtFinType1_ALQ,0.0048940170112194105
BsmtFinType1_BLQ,-0.0
BsmtFinType1_GLQ,0.010979437936040561
BsmtFinType1_LwQ,-0.0052061363528594145
BsmtFinType1_Rec,-0.0
BsmtFinType1_Unf,0.0
BsmtFinType2_ALQ,0.0
BsmtFinType2_BLQ,-0.0017694494856600582
BsmtFinType2_GLQ,0.0
BsmtFinType2_LwQ,0.0
BsmtFinType2_Rec,-0.0008419655557028497
BsmtFinType2_Unf,-0.0
Heating_Floor,-0.0
Heating_GasA,-0.0
Heating_GasW,0.02055803603256982
Heating_Grav,-0.012849033902969934
Heating_OthW,-0.0
Heating_Wall,0.0
HeatingQC_Ex,0.027421431206692617
HeatingQC_Fa,-0.0
HeatingQC_Gd,0.0008130256722344726
HeatingQC_Po,-0.0
HeatingQC_TA,-0.004044116278364751
CentralAir_N,-0.04362216230856672
CentralAir_Y,0.0
Electrical_FuseA,0.0
Electrical_FuseF,0.0
Electrical_FuseP,0.0
Electrical_Mix,-0.0
Electrical_SBrkr,-0.0
KitchenQual_Ex,0.06659627780106263
KitchenQual_Fa,-1.5803106441112835e-05
KitchenQual_Gd,1.0747823834117015e-07
KitchenQual_TA,-0.0019436706240829444
Functional_Maj1,-0.0
Functional_Maj2,-0.051034077341476275
Functional_Min1,0.0
Functional_Min2,0.0
Functional_Mod,-0.0
Functional_Sev,-0.0
Functional_Typ,0.0911586725967496
FireplaceQu_Ex,0.0
FireplaceQu_Fa,-0.0
FireplaceQu_Gd,0.0011408344645258254
FireplaceQu_Po,-0.0
FireplaceQu_TA,0.0
GarageType_2Types,-0.0
GarageType_Attchd,0.02644997865184076
GarageType_Basment,-0.0
GarageType_BuiltIn,0.0
GarageType_CarPort,-0.0
GarageType_Detchd,0.030714451977461796
GarageFinish_Fin,0.002382784404917863
GarageFinish_RFn,0.0
GarageFinish_Unf,-0.005743748242983489
GarageQual_Ex,0.0
GarageQual_Fa,-0.007823502563017344
GarageQual_Gd,0.013042790281110172
GarageQual_Po,-0.0
GarageQual_TA,0.0
GarageCond_Ex,0.0
GarageCond_Fa,-0.004035328494746944
GarageCond_Gd,0.0
GarageCond_Po,0.0
GarageCond_TA,0.028498928479468028
PavedDrive_N,-0.0
PavedDrive_P,-0.0
PavedDrive_Y,0.000698419771788161
PoolQC_Ex,0.0
PoolQC_Fa,-0.0
PoolQC_Gd,-0.0
Fence_GdPrv,0.004383660196035468
Fence_GdWo,-0.022981531043767236
Fence_MnPrv,0.0009706738819803836
Fence_MnWw,-0.0
MiscFeature_Gar2,0.0
MiscFeature_Othr,-0.0
MiscFeature_Shed,-0.0
MiscFeature_TenC,-0.0
SaleType_COD,-0.006179612478852681
SaleType_CWD,0.0
SaleType_Con,0.0
SaleType_ConLD,0.0
SaleType_ConLI,-0.0
SaleType_ConLw,-0.0
SaleType_New,0.0014827138222129354
SaleType_Oth,0.0
SaleType_WD,-0.028044590320897574
SaleCondition_Abnorml,-0.06800923910619962
SaleCondition_AdjLand,0.0
SaleCondition_Alloca,0.0
SaleCondition_Family,-0.02575829774439296
SaleCondition_Normal,0.00125146505184879
SaleCondition_Partial,0.0
OverallQual_1,-0.0
OverallQual_2,-0.0
OverallQual_3,-0.09078077485332221
OverallQual_4,-0.046198679281562426
OverallQual_5,-0.023505193866034328
OverallQual_6,0.0
OverallQual_7,0.03403054219685572
OverallQual_8,0.08943069361879162
OverallQual_9,0.14898456543500124
OverallQual_10,0.0961706457642957
OverallCond_1,-0.0
OverallCond_2,-0.0
OverallCond_3,-0.14955223625376607
OverallCond_4,-0.06759852902443692
OverallCond_5,-0.031168123009849096
OverallCond_6,0.0015426252627922408
OverallCond_7,0.04511129079339067
OverallCond_8,0.04302839333005381
OverallCond_9,0.0850568845736126
BsmtFullBath_0,-0.01911366031787493
BsmtFullBath_1,0.0
BsmtFullBath_2,-0.0
BsmtFullBath_3,0.0
BsmtHalfBath_0,-0.0
BsmtHalfBath_1,0.0
BsmtHalfBath_2,0.0
FullBath_0,-0.0
FullBath_1,-0.010172627659713525
FullBath_2,0.0
FullBath_3,0.05944585962372519
HalfBath_0,-0.0
HalfBath_1,0.014614020893423599
HalfBath_2,-0.0
BedroomAbvGr_0,0.0
BedroomAbvGr_1,-0.011085022062327128
BedroomAbvGr_2,0.009530120649120233
BedroomAbvGr_3,-0.0
BedroomAbvGr_4,0.014927550044252173
BedroomAbvGr_5,-0.0
BedroomAbvGr_6,-0.0
BedroomAbvGr_8,0.0
KitchenAbvGr_0,0.0
KitchenAbvGr_1,0.02613138067933296
KitchenAbvGr_2,-0.021764307459222466
KitchenAbvGr_3,-0.0
TotRmsAbvGrd_2,-0.0
TotRmsAbvGrd_3,0.0
TotRmsAbvGrd_4,-0.0
TotRmsAbvGrd_5,-0.0032445857009426077
TotRmsAbvGrd_6,-0.0
TotRmsAbvGrd_7,-0.0
TotRmsAbvGrd_8,0.0
TotRmsAbvGrd_9,0.0
TotRmsAbvGrd_10,0.02817620811597665
TotRmsAbvGrd_11,-0.004213506105555143
TotRmsAbvGrd_12,-0.0
TotRmsAbvGrd_14,0.0
Fireplaces_0,-0.027594345714401756
Fireplaces_1,0.0015844690182295245
Fireplaces_2,0.03179022729962152
Fireplaces_3,-0.005085967504618744
GarageCars_0,-0.0
GarageCars_1,-0.008694672366408022
GarageCars_2,-0.0
GarageCars_3,0.03347662055569955
GarageCars_4,0.0
PoolArea_0,-0.0
PoolArea_480,-0.3384196861671707
PoolArea_512,0.0
PoolArea_519,-0.0
PoolArea_555,0.0
PoolArea_576,0.0
PoolArea_648,0.0
PoolArea_738,0.0
MoSold_1,-0.010521887027870817
MoSold_2,-0.0
MoSold_3,-0.00015326075139567418
MoSold_4,0.0
MoSold_5,0.012355509804212416
MoSold_6,0.007776896869612164
MoSold_7,0.011682268853481314
MoSold_8,-0.0
MoSold_9,-0.0
MoSold_10,-0.0
MoSold_11,-0.0
MoSold_12,-0.0
YrSold_2006,0.0034256910772798247
YrSold_2007,-0.0
YrSold_2008,0.0028652604584832623
YrSold_2009,-0.006488531849294831
YrSold_2010,-0.0
